# sky background 0.3-1.0um
# DARK optical sky - 50%ile conditions (day 7)
# AM=1.0
#
# derived from (reverse engineered ESO model) sky spectrum plus 
# constant slope to match assumed photometric background (from
# von Hippel model.
#
# increasingly poor model at very bright sky (day14)
# patched to near-IR background at 920nm
#
# 1 March 2001 : Phil Puxley

nm         phot/s/nm/arcsec^2/m^2
519.98                    0.8224
557.66                    7.1786
588.97                    2.0480
617.10                    0.8651
630.10                   15.6541
636.47                    5.0956
646.55                    0.7536
683.17                    0.8669
686.62                    1.0106
690.33                    0.7778
729.34                    0.7461
734.11                    2.3272
747.11                    0.8321
752.69                    0.9937
757.20                    1.3437
757.46                    1.3430
759.59                    0.8086
771.53                    3.1656
771.79                    1.4214
772.85                    1.0127
781.08                    1.0296
781.87                    4.5911
785.06                    3.5219
796.47                    3.3699
802.30                    2.3842
805.22                    1.0216
810.53                    1.1424
829.10                    3.8685
829.90                    3.0663
834.68                    1.8680
855.11                    1.4744
862.54                    2.3842
863.07                    2.2203
865.19                    1.5490
866.78                    2.9085
867.31                    2.8554
876.33                    3.4878
882.97                   14.2894
888.81                    3.9754
892.26                    1.9569
894.64                    2.6213
904.73                    2.7071
909.24                    2.3014
910.30                    2.0173
916.14                    5.4622
918.79                    2.3027
931.50                    6.4418
932.50                    5.2659
938.00                    7.2588
944.00                    5.1923
948.00                    6.8836
952.00                    5.0984
957.00                    4.3700
962.50                    3.5253
972.00                    6.0626
979.50                   13.2008
987.50                    9.8791
991.50                    8.5226
995.00                   10.5285
996.00                    9.6293
1001.50                  12.5117
1008.50                   7.9472
1012.50                   8.1991
1017.50                  11.8708
1021.50                  13.2440
1023.00                   7.6176
1029.00                  33.2184
1035.00                   8.9547
1037.50                  21.5000
1038.00                  12.9913
1040.00                   9.8231
1042.00                  21.7121
1045.50                   7.6300
1047.00                  14.1852
1051.00                   5.2459
1053.00                   7.7292
1059.00                   4.8843
1071.50                   9.5517
1073.00                  15.2472
1075.50                  17.7016
1077.50                   8.1519
1083.50                  44.7260
1090.00                  10.7561
1092.50                  28.3281
1095.00                  12.4960
1097.50                  33.0216
